Epoch: 0  , step: 630  , SSIM: 0.720503659814112  , loss_G_GAN: 0.6963648796081543  , loss_d: 0.6928983926773071
Epoch: 0  , step: 640  , SSIM: 0.7220596602395781  , loss_G_GAN: 0.6964643001556396  , loss_d: 0.6925290822982788
Epoch: 0  , step: 650  , SSIM: 0.723602437763296  , loss_G_GAN: 0.696183443069458  , loss_d: 0.6924304962158203
Epoch: 0  , step: 660  , SSIM: 0.7249984771066801  , loss_G_GAN: 0.6951939463615417  , loss_d: 0.6930205821990967
Epoch: 0  , step: 670  , SSIM: 0.7264662461477469  , loss_G_GAN: 0.6959567666053772  , loss_d: 0.6920958757400513
Epoch: 0  , step: 680  , SSIM: 0.7279227495114162  , loss_G_GAN: 0.6952318549156189  , loss_d: 0.6921018362045288
Epoch: 0  , step: 690  , SSIM: 0.7292036602284365  , loss_G_GAN: 0.6904999613761902  , loss_d: 0.691101610660553
Epoch: 0  , step: 700  , SSIM: 0.7305903582795179  , loss_G_GAN: 0.7018105983734131  , loss_d: 0.6901252269744873
Epoch: 0  , step: 710  , SSIM: 0.7321158873975675  , loss_G_GAN: 0.6913995146751404  , loss_d: 0.6913509368896484
Epoch: 0  , step: 720  , SSIM: 0.733515814844462  , loss_G_GAN: 0.6978314518928528  , loss_d: 0.6889126896858215
Epoch: 0  , step: 730  , SSIM: 0.7346612974254748  , loss_G_GAN: 0.702623724937439  , loss_d: 0.6903326511383057
Epoch: 0  , step: 740  , SSIM: 0.7356988073448562  , loss_G_GAN: 0.6745576858520508  , loss_d: 0.691612958908081
Epoch: 0  , step: 750  , SSIM: 0.7367752996098483  , loss_G_GAN: 0.6270496845245361  , loss_d: 0.7109631299972534
Epoch: 0  , step: 760  , SSIM: 0.7378610765816015  , loss_G_GAN: 0.7005876898765564  , loss_d: 0.6911904811859131
Epoch: 0  , step: 770  , SSIM: 0.7389448384141933  , loss_G_GAN: 0.7073095440864563  , loss_d: 0.6960755586624146
Epoch: 0  , step: 780  , SSIM: 0.7400500903445059  , loss_G_GAN: 0.6778239607810974  , loss_d: 0.6960402727127075
Epoch: 0  , step: 790  , SSIM: 0.7410691019639787  , loss_G_GAN: 0.6740262508392334  , loss_d: 0.6939700841903687
Epoch: 0  , step: 800  , SSIM: 0.7421164572245899  , loss_G_GAN: 0.6760192513465881  , loss_d: 0.693240761756897
Epoch: 0  , step: 810  , SSIM: 0.7432993046385862  , loss_G_GAN: 0.6821663975715637  , loss_d: 0.6931866407394409
Epoch: 0  , step: 820  , SSIM: 0.7446644161062158  , loss_G_GAN: 0.6858888864517212  , loss_d: 0.6931445598602295
Epoch: 0  , step: 830  , SSIM: 0.7459295882723517  , loss_G_GAN: 0.6894498467445374  , loss_d: 0.6931201219558716
Epoch: 0  , step: 840  , SSIM: 0.7470490807804692  , loss_G_GAN: 0.6921665072441101  , loss_d: 0.6930841207504272
Epoch: 0  , step: 850  , SSIM: 0.7480634051757031  , loss_G_GAN: 0.6932754516601562  , loss_d: 0.6930169463157654
Epoch: 0  , step: 860  , SSIM: 0.7490957586406259  , loss_G_GAN: 0.6940995454788208  , loss_d: 0.6929930448532104
Epoch: 0  , step: 870  , SSIM: 0.7501565675175269  , loss_G_GAN: 0.6944904327392578  , loss_d: 0.6929894685745239
Epoch: 0  , step: 880  , SSIM: 0.7513116763283104  , loss_G_GAN: 0.6943960189819336  , loss_d: 0.693041205406189
Epoch: 0  , step: 890  , SSIM: 0.7521901483962147  , loss_G_GAN: 0.6944250464439392  , loss_d: 0.6930444240570068
Epoch: 0  , step: 900  , SSIM: 0.7530256267730043  , loss_G_GAN: 0.6940980553627014  , loss_d: 0.6930999159812927
Epoch: 0  , step: 910  , SSIM: 0.7539088822293998  , loss_G_GAN: 0.6940051317214966  , loss_d: 0.6929510831832886
Epoch: 0  , step: 920  , SSIM: 0.7547373582763712  , loss_G_GAN: 0.694579005241394  , loss_d: 0.6929088830947876
Epoch: 0  , step: 930  , SSIM: 0.7556016045731565  , loss_G_GAN: 0.6948208212852478  , loss_d: 0.6929651498794556
Epoch: 0  , step: 940  , SSIM: 0.7566185780532666  , loss_G_GAN: 0.6943377256393433  , loss_d: 0.6932228803634644
Epoch: 0  , step: 950  , SSIM: 0.7574747800895578  , loss_G_GAN: 0.694248616695404  , loss_d: 0.6929854154586792
Epoch: 0  , step: 960  , SSIM: 0.7583655390053072  , loss_G_GAN: 0.6936658024787903  , loss_d: 0.6929161548614502
Epoch: 0  , step: 970  , SSIM: 0.7593154291604117  , loss_G_GAN: 0.6933911442756653  , loss_d: 0.6929906606674194
Epoch: 0  , step: 980  , SSIM: 0.7598998107378743  , loss_G_GAN: 0.6945135593414307  , loss_d: 0.6930040121078491
Epoch: 0  , step: 990  , SSIM: 0.760652419543373  , loss_G_GAN: 0.6963168978691101  , loss_d: 0.6928049325942993
Epoch: 0  , step: 1000  , SSIM: 0.761347970411695  , loss_G_GAN: 0.6966738700866699  , loss_d: 0.6928622722625732
Epoch: 0  , step: 1010  , SSIM: 0.7621707724127273  , loss_G_GAN: 0.6958128809928894  , loss_d: 0.6928627490997314
Epoch: 0  , step: 1020  , SSIM: 0.7628469831509977  , loss_G_GAN: 0.6951330900192261  , loss_d: 0.6929831504821777
Epoch: 0  , step: 1030  , SSIM: 0.7636165953693852  , loss_G_GAN: 0.6962651014328003  , loss_d: 0.6926326751708984
Epoch: 0  , step: 1040  , SSIM: 0.7642204908718508  , loss_G_GAN: 0.6964708566665649  , loss_d: 0.6926840543746948
Epoch: 0  , step: 1050  , SSIM: 0.764960159363312  , loss_G_GAN: 0.6954075694084167  , loss_d: 0.6921334266662598
Epoch: 0  , step: 1060  , SSIM: 0.7658382672790182  , loss_G_GAN: 0.6949300169944763  , loss_d: 0.6925652027130127
Epoch: 0  , step: 1070  , SSIM: 0.7664153768518378  , loss_G_GAN: 0.6945385932922363  , loss_d: 0.6927881240844727
Epoch: 0  , step: 1080  , SSIM: 0.7671047464059623  , loss_G_GAN: 0.6961323022842407  , loss_d: 0.6928468942642212
Epoch: 0  , step: 1090  , SSIM: 0.7677891977826231  , loss_G_GAN: 0.6957146525382996  , loss_d: 0.6919779777526855
Epoch: 0  , step: 1100  , SSIM: 0.7685410837337483  , loss_G_GAN: 0.6944177150726318  , loss_d: 0.6921895146369934
Epoch: 0  , step: 1110  , SSIM: 0.7693115538304703  , loss_G_GAN: 0.7017077803611755  , loss_d: 0.6921056509017944
Epoch: 0  , step: 1120  , SSIM: 0.7699728969752084  , loss_G_GAN: 0.689433217048645  , loss_d: 0.692091166973114
Epoch: 0  , Train:   , SSIM: 0.7703235899665289
Epoch: 0  , Test:   , SSIM: 0.8359977654616038
Epoch: 1  , step: 0  , SSIM: 0.8348845839500427  , loss_G_GAN: 0.6997649669647217  , loss_d: 0.6907681226730347
Epoch: 1  , step: 10  , SSIM: 0.8397423841736533  , loss_G_GAN: 0.7113906741142273  , loss_d: 0.6967686414718628
Epoch: 1  , step: 20  , SSIM: 0.8343746832438877  , loss_G_GAN: 0.6902564764022827  , loss_d: 0.7031106948852539
Epoch: 1  , step: 30  , SSIM: 0.8237695809333555  , loss_G_GAN: 0.6522713303565979  , loss_d: 0.6991667151451111
Epoch: 1  , step: 40  , SSIM: 0.8247640685337346  , loss_G_GAN: 0.6957640647888184  , loss_d: 0.6932615041732788
Epoch: 1  , step: 50  , SSIM: 0.8290737329744825  , loss_G_GAN: 0.7021398544311523  , loss_d: 0.6930544376373291
Epoch: 1  , step: 60  , SSIM: 0.8313251323387271  , loss_G_GAN: 0.6998024582862854  , loss_d: 0.6929693222045898
Epoch: 1  , step: 70  , SSIM: 0.8312865201856049  , loss_G_GAN: 0.6973958611488342  , loss_d: 0.6930261850357056
Epoch: 1  , step: 80  , SSIM: 0.8326984195061672  , loss_G_GAN: 0.6970503926277161  , loss_d: 0.6929591298103333
Epoch: 1  , step: 90  , SSIM: 0.834487932068961  , loss_G_GAN: 0.6978469491004944  , loss_d: 0.6929399967193604
Epoch: 1  , step: 100  , SSIM: 0.8352094345753736  , loss_G_GAN: 0.7000424861907959  , loss_d: 0.6928093433380127
Epoch: 1  , step: 110  , SSIM: 0.8359278021632014  , loss_G_GAN: 0.6992374062538147  , loss_d: 0.6931056380271912
Epoch: 1  , step: 120  , SSIM: 0.8364444182924002  , loss_G_GAN: 0.6972257494926453  , loss_d: 0.6926413774490356
Epoch: 1  , step: 130  , SSIM: 0.8366243884763644  , loss_G_GAN: 0.6969245076179504  , loss_d: 0.6926885843276978
Epoch: 1  , step: 140  , SSIM: 0.8369294392301682  , loss_G_GAN: 0.6974092721939087  , loss_d: 0.6926047205924988
Epoch: 1  , step: 150  , SSIM: 0.8366519177196831  , loss_G_GAN: 0.6967928409576416  , loss_d: 0.6923805475234985
Epoch: 1  , step: 160  , SSIM: 0.835428696241438  , loss_G_GAN: 0.6985423564910889  , loss_d: 0.6920676231384277
Epoch: 1  , step: 170  , SSIM: 0.8361208721211082  , loss_G_GAN: 0.6967069506645203  , loss_d: 0.6923826932907104
Epoch: 1  , step: 180  , SSIM: 0.8367413782941703  , loss_G_GAN: 0.7037318348884583  , loss_d: 0.6922593116760254
Epoch: 1  , step: 190  , SSIM: 0.8371219834732135  , loss_G_GAN: 0.6952534914016724  , loss_d: 0.6924947500228882
Epoch: 1  , step: 200  , SSIM: 0.8372077120477287  , loss_G_GAN: 0.700126588344574  , loss_d: 0.6914147138595581
Epoch: 1  , step: 210  , SSIM: 0.8372673087210452  , loss_G_GAN: 0.7040739059448242  , loss_d: 0.6915715932846069
Epoch: 1  , step: 220  , SSIM: 0.8375603232987866  , loss_G_GAN: 0.7020483016967773  , loss_d: 0.6904529333114624
Epoch: 1  , step: 230  , SSIM: 0.8377692629764606  , loss_G_GAN: 0.7116376757621765  , loss_d: 0.6907272934913635
Epoch: 1  , step: 240  , SSIM: 0.838371483369487  , loss_G_GAN: 0.7114070653915405  , loss_d: 0.6864080429077148
Epoch: 1  , step: 250  , SSIM: 0.8380151117940348  , loss_G_GAN: 0.6559733152389526  , loss_d: 0.7087306976318359
Epoch: 1  , step: 260  , SSIM: 0.8384019385352446  , loss_G_GAN: 0.6424854397773743  , loss_d: 0.6950901746749878
Epoch: 1  , step: 270  , SSIM: 0.8389580284977312  , loss_G_GAN: 0.6739051938056946  , loss_d: 0.6934196352958679
Epoch: 1  , step: 280  , SSIM: 0.8388385899974782  , loss_G_GAN: 0.6908711194992065  , loss_d: 0.6932326555252075
Epoch: 1  , step: 290  , SSIM: 0.8389999237666834  , loss_G_GAN: 0.6956697702407837  , loss_d: 0.6929174661636353
Epoch: 1  , step: 300  , SSIM: 0.8391466002131618  , loss_G_GAN: 0.6928796768188477  , loss_d: 0.6931964159011841
Epoch: 1  , step: 310  , SSIM: 0.8392679049271096  , loss_G_GAN: 0.6930029988288879  , loss_d: 0.6930385828018188
Epoch: 1  , step: 320  , SSIM: 0.8395745037500733  , loss_G_GAN: 0.6923377513885498  , loss_d: 0.6931067705154419
