Epoch: 1  , step: 530  , ssim_all: 0.819481611251831
Epoch: 1  , step: 540  , ssim_all: 0.8194937109947205
Epoch: 1  , step: 550  , ssim_all: 0.8193688988685608
Epoch: 1  , step: 560  , ssim_all: 0.8194401264190674
Epoch: 1  , step: 570  , ssim_all: 0.8196045756340027
Epoch: 1  , step: 580  , ssim_all: 0.8195856213569641
Epoch: 1  , step: 590  , ssim_all: 0.8194879293441772
Epoch: 1  , step: 600  , ssim_all: 0.819701075553894
Epoch: 1  , step: 610  , ssim_all: 0.8198747038841248
Epoch: 1  , step: 620  , ssim_all: 0.8200401067733765
Epoch: 1  , step: 630  , ssim_all: 0.8198456764221191
Epoch: 1  , step: 640  , ssim_all: 0.8196956515312195
Epoch: 1  , step: 650  , ssim_all: 0.8198883533477783
Epoch: 1  , step: 660  , ssim_all: 0.8201102018356323
Epoch: 1  , step: 670  , ssim_all: 0.8202222585678101
Epoch: 1  , step: 680  , ssim_all: 0.8204523921012878
Epoch: 1  , step: 690  , ssim_all: 0.8208024501800537
Epoch: 1  , step: 700  , ssim_all: 0.820802628993988
Epoch: 1  , step: 710  , ssim_all: 0.8207614421844482
Epoch: 1  , step: 720  , ssim_all: 0.8207390904426575
Epoch: 1  , step: 730  , ssim_all: 0.8210697770118713
Epoch: 1  , step: 740  , ssim_all: 0.8213176727294922
Epoch: 1  , step: 750  , ssim_all: 0.8213675618171692
Epoch: 1  , step: 760  , ssim_all: 0.8215077519416809
Epoch: 1  , step: 770  , ssim_all: 0.8214371800422668
Epoch: 1  , step: 780  , ssim_all: 0.8213887214660645
Epoch: 1  , step: 790  , ssim_all: 0.821438193321228
Epoch: 1  , step: 800  , ssim_all: 0.8215985894203186
Epoch: 1  , step: 810  , ssim_all: 0.8216281533241272
Epoch: 1  , step: 820  , ssim_all: 0.8216246962547302
Epoch: 1  , step: 830  , ssim_all: 0.82155841588974
Epoch: 1  , step: 840  , ssim_all: 0.8215876817703247
Epoch: 1  , step: 850  , ssim_all: 0.8217816352844238
Epoch: 1  , step: 860  , ssim_all: 0.8219969272613525
Epoch: 1  , step: 870  , ssim_all: 0.8221059441566467
Epoch: 1  , step: 880  , ssim_all: 0.8220661878585815
